confidence,evidence,kind,source,target
high,,runs_experiment,agent:17:implementation_stress_test,file:experiments/run_agent17_implementation_stress_test.py
high,,verified_by,agent:17:implementation_stress_test,file:tests/test_implementation_stress_test_agent.py
medium,,writes_output_dir,agent:17:implementation_stress_test,dir:outputs/agent17_implementation_stress_test
high,,implemented_by,agent:18:adaptive_portfolio,file:src/water_ai/agents/adaptive_portfolio_agent.py
high,,runs_experiment,agent:18:adaptive_portfolio,file:experiments/run_agent18_adaptive_portfolio.py
high,,verified_by,agent:18:adaptive_portfolio,file:tests/test_adaptive_portfolio_agent.py
medium,,writes_output_dir,agent:18:adaptive_portfolio,dir:outputs/agent18_adaptive_portfolio
high,,implemented_by,agent:19:online_project_control,file:src/water_ai/agents/online_project_control_agent.py
high,,runs_experiment,agent:19:online_project_control,file:experiments/run_agent19_online_project_control.py
high,,verified_by,agent:19:online_project_control,file:tests/test_online_project_control_agent.py
medium,,writes_output_dir,agent:19:online_project_control,dir:outputs/agent19_online_project_control
high,,implemented_by,agent:20:campaign_telemetry,file:src/water_ai/agents/campaign_telemetry_agent.py
high,,runs_experiment,agent:20:campaign_telemetry,file:experiments/run_agent20_campaign_telemetry.py
high,,verified_by,agent:20:campaign_telemetry,file:tests/test_campaign_telemetry_agent.py
medium,,writes_output_dir,agent:20:campaign_telemetry,dir:outputs/agent20_campaign_telemetry
high,,implemented_by,agent:21:replanning_orchestrator,file:src/water_ai/agents/replanning_orchestrator_agent.py
high,,runs_experiment,agent:21:replanning_orchestrator,file:experiments/run_agent21_replanning_orchestrator.py
high,,verified_by,agent:21:replanning_orchestrator,file:tests/test_replanning_orchestrator_agent.py
medium,,writes_output_dir,agent:21:replanning_orchestrator,dir:outputs/agent21_replanning_orchestrator
high,,implemented_by,agent:22:control_baseline_update,file:src/water_ai/agents/control_baseline_update_agent.py
high,,runs_experiment,agent:22:control_baseline_update,file:experiments/run_agent22_control_baseline_update.py
high,,verified_by,agent:22:control_baseline_update,file:tests/test_control_baseline_update_agent.py
medium,,writes_output_dir,agent:22:control_baseline_update,dir:outputs/agent22_control_baseline_update
high,,implemented_by,agent:23:post_replan_replay,file:src/water_ai/agents/post_replan_replay_agent.py
high,,runs_experiment,agent:23:post_replan_replay,file:experiments/run_agent23_post_replan_replay.py
high,,verified_by,agent:23:post_replan_replay,file:tests/test_post_replan_replay_agent.py
medium,,writes_output_dir,agent:23:post_replan_replay,dir:outputs/agent23_post_replan_replay
high,,implemented_by,agent:24:recovery_ramp,file:src/water_ai/agents/recovery_ramp_agent.py
high,,runs_experiment,agent:24:recovery_ramp,file:experiments/run_agent24_recovery_ramp.py
high,,verified_by,agent:24:recovery_ramp,file:tests/test_recovery_ramp_agent.py
medium,,writes_output_dir,agent:24:recovery_ramp,dir:outputs/agent24_recovery_ramp
high,,implemented_by,agent:25:time_budget_recovery,file:src/water_ai/agents/time_budget_recovery_agent.py
high,,runs_experiment,agent:25:time_budget_recovery,file:experiments/run_agent25_time_budget_recovery.py
high,,verified_by,agent:25:time_budget_recovery,file:tests/test_time_budget_recovery_agent.py
medium,,writes_output_dir,agent:25:time_budget_recovery,dir:outputs/agent25_time_budget_recovery
high,,implemented_by,agent:26:recovery_strategy_writeback,file:src/water_ai/agents/recovery_strategy_writeback_agent.py
high,,runs_experiment,agent:26:recovery_strategy_writeback,file:experiments/run_agent26_recovery_strategy_writeback.py
high,,verified_by,agent:26:recovery_strategy_writeback,file:tests/test_recovery_strategy_writeback_agent.py
medium,,writes_output_dir,agent:26:recovery_strategy_writeback,dir:outputs/agent26_recovery_strategy_writeback
high,,implemented_by,agent:27:recovery_execution_replay,file:src/water_ai/agents/recovery_execution_replay_agent.py
high,,runs_experiment,agent:27:recovery_execution_replay,file:experiments/run_agent27_recovery_execution_replay.py
high,,verified_by,agent:27:recovery_execution_replay,file:tests/test_recovery_execution_replay_agent.py
medium,,writes_output_dir,agent:27:recovery_execution_replay,dir:outputs/agent27_recovery_execution_replay
high,,implemented_by,agent:28:recovery_online_control,file:src/water_ai/agents/recovery_online_control_agent.py
high,,runs_experiment,agent:28:recovery_online_control,file:experiments/run_agent28_recovery_online_control.py
high,,verified_by,agent:28:recovery_online_control,file:tests/test_recovery_online_control_agent.py
medium,,writes_output_dir,agent:28:recovery_online_control,dir:outputs/agent28_recovery_online_control
high,,implemented_by,agent:29:project_synthesis,file:src/water_ai/agents/project_synthesis_agent.py
high,,runs_experiment,agent:29:project_synthesis,file:experiments/run_agent29_project_synthesis.py
high,,verified_by,agent:29:project_synthesis,file:tests/test_project_synthesis_agent.py
medium,,writes_output_dir,agent:29:project_synthesis,dir:outputs/agent29_project_synthesis
high,,implemented_by,agent:30:field_data_interface,file:src/water_ai/agents/field_data_interface_agent.py
high,,runs_experiment,agent:30:field_data_interface,file:experiments/run_agent30_field_data_interface.py
high,,verified_by,agent:30:field_data_interface,file:tests/test_field_data_interface_agent.py
medium,,writes_output_dir,agent:30:field_data_interface,dir:outputs/agent30_field_data_interface
high,,implemented_by,agent:31:deliverable_organization,file:src/water_ai/agents/deliverable_organization_agent.py
high,,runs_experiment,agent:31:deliverable_organization,file:experiments/run_agent31_deliverable_organization.py
high,,verified_by,agent:31:deliverable_organization,file:tests/test_deliverable_organization_agent.py
medium,,writes_output_dir,agent:31:deliverable_organization,dir:outputs/agent31_deliverable_organization
high,,runs_experiment,agent:32:presentation_assets,file:experiments/run_agent32_presentation_assets.py
medium,,writes_output_dir,agent:32:presentation_assets,dir:outputs/agent32_presentation_assets
high,,implemented_by,agent:33:presentation_deck,file:src/water_ai/agents/presentation_deck_agent.py
high,,runs_experiment,agent:33:presentation_deck,file:experiments/run_agent33_presentation_deck.py
high,,verified_by,agent:33:presentation_deck,file:tests/test_presentation_deck_agent.py
medium,,writes_output_dir,agent:33:presentation_deck,dir:outputs/agent33_presentation_deck
high,,implemented_by,agent:34:field_calibration_gate,file:src/water_ai/agents/field_calibration_gate_agent.py
high,,runs_experiment,agent:34:field_calibration_gate,file:experiments/run_agent34_field_calibration_gate.py
high,,verified_by,agent:34:field_calibration_gate,file:tests/test_field_calibration_gate_agent.py
medium,,writes_output_dir,agent:34:field_calibration_gate,dir:outputs/agent34_field_calibration_gate
high,,documented_by,agent:35:model_realism_audit,file:deliverables/model_realism_audit.md
high,,implemented_by,agent:35:model_realism_audit,file:src/water_ai/agents/model_realism_audit_agent.py
high,,runs_experiment,agent:35:model_realism_audit,file:experiments/run_agent35_model_realism_audit.py
high,,verified_by,agent:35:model_realism_audit,file:tests/test_model_realism_audit_agent.py
medium,,writes_output_dir,agent:35:model_realism_audit,dir:outputs/agent35_model_realism_audit
high,,documented_by,agent:36:soft_sensor_uncertainty_validation,file:deliverables/soft_sensor_uncertainty_validation.md
high,,implemented_by,agent:36:soft_sensor_uncertainty_validation,file:src/water_ai/agents/soft_sensor_uncertainty_validation_agent.py
high,,runs_experiment,agent:36:soft_sensor_uncertainty_validation,file:experiments/run_agent36_soft_sensor_uncertainty_validation.py
high,,verified_by,agent:36:soft_sensor_uncertainty_validation,file:tests/test_soft_sensor_uncertainty_validation_agent.py
medium,,writes_output_dir,agent:36:soft_sensor_uncertainty_validation,dir:outputs/agent36_soft_sensor_uncertainty_validation
high,,documented_by,agent:37:knowledge_graph_curation,file:deliverables/knowledge_graph_curation.md
high,,implemented_by,agent:37:knowledge_graph_curation,file:src/water_ai/agents/knowledge_graph_curation_agent.py
high,,runs_experiment,agent:37:knowledge_graph_curation,file:experiments/run_agent37_knowledge_graph_curation.py
high,,verified_by,agent:37:knowledge_graph_curation,file:tests/test_knowledge_graph_curation_agent.py
medium,,writes_output_dir,agent:37:knowledge_graph_curation,dir:outputs/agent37_knowledge_graph_curation
high,,implemented_by,agent:38:literature_evidence,file:src/water_ai/agents/literature_evidence_agent.py
high,,runs_experiment,agent:38:literature_evidence,file:experiments/run_agent38_literature_evidence.py
high,,verified_by,agent:38:literature_evidence,file:tests/test_literature_evidence_agent.py
medium,,writes_output_dir,agent:38:literature_evidence,dir:outputs/agent38_literature_evidence
high,,documented_by,agent:39:soft_sensor_conformal_calibration,file:deliverables/soft_sensor_conformal_calibration.md
high,,implemented_by,agent:39:soft_sensor_conformal_calibration,file:src/water_ai/agents/soft_sensor_conformal_calibration_agent.py
high,,runs_experiment,agent:39:soft_sensor_conformal_calibration,file:experiments/run_agent39_soft_sensor_conformal_calibration.py
high,,verified_by,agent:39:soft_sensor_conformal_calibration,file:tests/test_soft_sensor_conformal_calibration_agent.py
medium,,writes_output_dir,agent:39:soft_sensor_conformal_calibration,dir:outputs/agent39_soft_sensor_conformal_calibration
high,,documented_by,agent:40:grey_box_dynamic_latency,file:deliverables/grey_box_dynamic_latency.md
high,,implemented_by,agent:40:grey_box_dynamic_latency,file:src/water_ai/agents/grey_box_dynamic_latency_agent.py
high,,runs_experiment,agent:40:grey_box_dynamic_latency,file:experiments/run_agent40_grey_box_dynamic_latency.py
high,,verified_by,agent:40:grey_box_dynamic_latency,file:tests/test_grey_box_dynamic_latency_agent.py
medium,,writes_output_dir,agent:40:grey_box_dynamic_latency,dir:outputs/agent40_grey_box_dynamic_latency
high,,implemented_by,agent:41:matrix_shock_fast_proxy,file:src/water_ai/agents/matrix_shock_fast_proxy_agent.py
high,,runs_experiment,agent:41:matrix_shock_fast_proxy,file:experiments/run_agent41_matrix_shock_fast_proxy.py
high,,verified_by,agent:41:matrix_shock_fast_proxy,file:tests/test_matrix_shock_fast_proxy_agent.py
medium,,writes_output_dir,agent:41:matrix_shock_fast_proxy,dir:outputs/agent41_matrix_shock_fast_proxy
high,,implemented_by,agent:42:timestamped_campaign_replay,file:src/water_ai/agents/timestamped_campaign_replay_agent.py
high,,runs_experiment,agent:42:timestamped_campaign_replay,file:experiments/run_agent42_timestamped_campaign_replay.py
high,,verified_by,agent:42:timestamped_campaign_replay,file:tests/test_timestamped_campaign_replay_agent.py
medium,,writes_output_dir,agent:42:timestamped_campaign_replay,dir:outputs/agent42_timestamped_campaign_replay
high,,documented_by,agent:43:field_replay_calibration_gate,file:deliverables/field_replay_calibration_gate.md
high,,implemented_by,agent:43:field_replay_calibration_gate,file:src/water_ai/agents/field_replay_calibration_gate_agent.py
high,,runs_experiment,agent:43:field_replay_calibration_gate,file:experiments/run_agent43_field_replay_calibration_gate.py
high,,verified_by,agent:43:field_replay_calibration_gate,file:tests/test_field_replay_calibration_gate_agent.py
medium,,writes_output_dir,agent:43:field_replay_calibration_gate,dir:outputs/agent43_field_replay_calibration_gate
high,,implemented_by,agent:44:field_replay_import,file:src/water_ai/agents/field_replay_import_agent.py
high,,runs_experiment,agent:44:field_replay_import,file:experiments/run_agent44_field_replay_import.py
high,,verified_by,agent:44:field_replay_import,file:tests/test_field_replay_import_agent.py
medium,,writes_output_dir,agent:44:field_replay_import,dir:outputs/agent44_field_replay_import
high,,documented_by,agent:45:field_replay_evidence_chain,file:deliverables/field_replay_evidence_chain.md
high,,implemented_by,agent:45:field_replay_evidence_chain,file:src/water_ai/agents/field_replay_evidence_chain_agent.py
high,,runs_experiment,agent:45:field_replay_evidence_chain,file:experiments/run_agent45_field_replay_evidence_chain.py
high,,verified_by,agent:45:field_replay_evidence_chain,file:tests/test_field_replay_evidence_chain_agent.py
medium,,writes_output_dir,agent:45:field_replay_evidence_chain,dir:outputs/agent45_field_replay_evidence_chain
high,,documented_by,agent:46:soft_sensor_field_holdout_gate,file:deliverables/soft_sensor_field_holdout_gate.md
high,,implemented_by,agent:46:soft_sensor_field_holdout_gate,file:src/water_ai/agents/soft_sensor_field_holdout_gate_agent.py
high,,runs_experiment,agent:46:soft_sensor_field_holdout_gate,file:experiments/run_agent46_soft_sensor_field_holdout_gate.py
high,,verified_by,agent:46:soft_sensor_field_holdout_gate,file:tests/test_soft_sensor_field_holdout_gate_agent.py
medium,,writes_output_dir,agent:46:soft_sensor_field_holdout_gate,dir:outputs/agent46_soft_sensor_field_holdout_gate
high,,documented_by,agent:47:weak_target_stratified_conformal,file:deliverables/weak_target_stratified_conformal.md
high,,implemented_by,agent:47:weak_target_stratified_conformal,file:src/water_ai/agents/weak_target_stratified_conformal_agent.py
high,,runs_experiment,agent:47:weak_target_stratified_conformal,file:experiments/run_agent47_weak_target_stratified_conformal.py
high,,verified_by,agent:47:weak_target_stratified_conformal,file:tests/test_weak_target_stratified_conformal_agent.py
medium,,writes_output_dir,agent:47:weak_target_stratified_conformal,dir:outputs/agent47_weak_target_stratified_conformal
high,,documented_by,agent:48:sensor_network_sparse_placement,file:deliverables/sensor_network_sparse_placement.md
high,,implemented_by,agent:48:sensor_network_sparse_placement,file:src/water_ai/agents/sensor_network_sparse_placement_agent.py
high,,runs_experiment,agent:48:sensor_network_sparse_placement,file:experiments/run_agent48_sensor_network_sparse_placement.py
high,,verified_by,agent:48:sensor_network_sparse_placement,file:tests/test_sensor_network_sparse_placement_agent.py
medium,,writes_output_dir,agent:48:sensor_network_sparse_placement,dir:outputs/agent48_sensor_network_sparse_placement
high,,documented_by,agent:49:multi_facility_collaborative_control,file:deliverables/multi_facility_collaborative_control.md
high,,implemented_by,agent:49:multi_facility_collaborative_control,file:src/water_ai/agents/multi_facility_collaborative_control_agent.py
high,,runs_experiment,agent:49:multi_facility_collaborative_control,file:experiments/run_agent49_multi_facility_collaborative_control.py
high,,verified_by,agent:49:multi_facility_collaborative_control,file:tests/test_multi_facility_collaborative_control_agent.py
medium,,writes_output_dir,agent:49:multi_facility_collaborative_control,dir:outputs/agent49_multi_facility_collaborative_control
high,,runs_experiment,agent:50:model_core_governance,file:experiments/run_agent50_model_core_governance.py
medium,,writes_output_dir,agent:50:model_core_governance,dir:outputs/agent50_model_core_governance
high,,documented_by,agent:51:catalyst_activity_proxy,file:deliverables/catalyst_activity_proxy.md
high,,implemented_by,agent:51:catalyst_activity_proxy,file:src/water_ai/agents/catalyst_activity_proxy_agent.py
high,,runs_experiment,agent:51:catalyst_activity_proxy,file:experiments/run_agent51_catalyst_activity_proxy.py
high,,verified_by,agent:51:catalyst_activity_proxy,file:tests/test_catalyst_activity_proxy_agent.py
medium,,writes_output_dir,agent:51:catalyst_activity_proxy,dir:outputs/agent51_catalyst_activity_proxy
high,,documented_by,agent:52:multi_facility_replay_evaluation,file:deliverables/multi_facility_replay_evaluation.md
high,,implemented_by,agent:52:multi_facility_replay_evaluation,file:src/water_ai/agents/multi_facility_replay_evaluation_agent.py
high,,runs_experiment,agent:52:multi_facility_replay_evaluation,file:experiments/run_agent52_multi_facility_replay_evaluation.py
high,,verified_by,agent:52:multi_facility_replay_evaluation,file:tests/test_multi_facility_replay_evaluation_agent.py
medium,,writes_output_dir,agent:52:multi_facility_replay_evaluation,dir:outputs/agent52_multi_facility_replay_evaluation
high,,documented_by,agent:53:minimal_grey_box_physics,file:deliverables/minimal_grey_box_physics.md
high,,implemented_by,agent:53:minimal_grey_box_physics,file:src/water_ai/agents/minimal_grey_box_physics_agent.py
high,,runs_experiment,agent:53:minimal_grey_box_physics,file:experiments/run_agent53_minimal_grey_box_physics.py
high,,verified_by,agent:53:minimal_grey_box_physics,file:tests/test_minimal_grey_box_physics_agent.py
medium,,writes_output_dir,agent:53:minimal_grey_box_physics,dir:outputs/agent53_minimal_grey_box_physics
high,,documented_by,agent:54:soft_sensor_matrix_coupling,file:deliverables/soft_sensor_matrix_coupling.md
high,,implemented_by,agent:54:soft_sensor_matrix_coupling,file:src/water_ai/agents/soft_sensor_matrix_coupling_agent.py
high,,runs_experiment,agent:54:soft_sensor_matrix_coupling,file:experiments/run_agent54_soft_sensor_matrix_coupling.py
high,,verified_by,agent:54:soft_sensor_matrix_coupling,file:tests/test_soft_sensor_matrix_coupling_agent.py
medium,,writes_output_dir,agent:54:soft_sensor_matrix_coupling,dir:outputs/agent54_soft_sensor_matrix_coupling
high,,documented_by,agent:55:engineering_execution_constraints,file:deliverables/engineering_execution_constraints.md
high,,runs_experiment,agent:55:engineering_execution_constraints,file:experiments/run_agent55_engineering_execution_constraints.py
medium,,writes_output_dir,agent:55:engineering_execution_constraints,dir:outputs/agent55_engineering_execution_constraints
high,,documented_by,agent:56:knowledge_graph_reasoning,file:deliverables/knowledge_graph_reasoning.md
high,,implemented_by,agent:56:knowledge_graph_reasoning,file:src/water_ai/agents/knowledge_graph_reasoning_agent.py
high,,runs_experiment,agent:56:knowledge_graph_reasoning,file:experiments/run_agent56_knowledge_graph_reasoning.py
high,,verified_by,agent:56:knowledge_graph_reasoning,file:tests/test_knowledge_graph_reasoning_agent.py
medium,,writes_output_dir,agent:56:knowledge_graph_reasoning,dir:outputs/agent56_knowledge_graph_reasoning
high,,documented_by,agent:57:main_chain_reconnection,file:deliverables/main_chain_reconnection.md
high,,implemented_by,agent:57:main_chain_reconnection,file:src/water_ai/agents/main_chain_reconnection_agent.py
high,,runs_experiment,agent:57:main_chain_reconnection,file:experiments/run_agent57_main_chain_reconnection.py
high,,verified_by,agent:57:main_chain_reconnection,file:tests/test_main_chain_reconnection_agent.py
medium,,writes_output_dir,agent:57:main_chain_reconnection,dir:outputs/agent57_main_chain_reconnection
high,,documented_by,agent:58:field_validation_queue_alignment,file:deliverables/field_validation_queue_alignment.md
high,,implemented_by,agent:58:field_validation_queue_alignment,file:src/water_ai/agents/field_validation_queue_alignment_agent.py
high,,runs_experiment,agent:58:field_validation_queue_alignment,file:experiments/run_agent58_field_validation_queue_alignment.py
high,,verified_by,agent:58:field_validation_queue_alignment,file:tests/test_field_validation_queue_alignment_agent.py
medium,,writes_output_dir,agent:58:field_validation_queue_alignment,dir:outputs/agent58_field_validation_queue_alignment
high,,documented_by,agent:59:claim_specific_field_package,file:deliverables/claim_specific_field_package.md
high,,implemented_by,agent:59:claim_specific_field_package,file:src/water_ai/agents/claim_specific_field_package_agent.py
high,,runs_experiment,agent:59:claim_specific_field_package,file:experiments/run_agent59_claim_specific_field_package.py
high,,verified_by,agent:59:claim_specific_field_package,file:tests/test_claim_specific_field_package_agent.py
medium,,writes_output_dir,agent:59:claim_specific_field_package,dir:outputs/agent59_claim_specific_field_package
high,,documented_by,agent:60:agent_architecture_consolidation,file:deliverables/model_core_optimization/agent_architecture_consolidation.md
high,,implemented_by,agent:60:agent_architecture_consolidation,file:src/water_ai/agents/agent_architecture_consolidation_agent.py
high,,runs_experiment,agent:60:agent_architecture_consolidation,file:experiments/run_agent60_agent_architecture_consolidation.py
high,,verified_by,agent:60:agent_architecture_consolidation,file:tests/test_agent_architecture_consolidation_agent.py
medium,,writes_output_dir,agent:60:agent_architecture_consolidation,dir:outputs/agent60_agent_architecture_consolidation
high,,documented_by,agent:61:pressure_resolution_replay_scenario_pack,file:deliverables/model_core_optimization/pressure_resolution_replay_scenario_pack.md
high,,implemented_by,agent:61:pressure_resolution_replay_scenario_pack,file:src/water_ai/agents/pressure_resolution_replay_scenario_pack_agent.py
high,,runs_experiment,agent:61:pressure_resolution_replay_scenario_pack,file:experiments/run_agent61_pressure_resolution_replay_scenario_pack.py
high,,verified_by,agent:61:pressure_resolution_replay_scenario_pack,file:tests/test_pressure_resolution_replay_scenario_pack_agent.py
medium,,writes_output_dir,agent:61:pressure_resolution_replay_scenario_pack,dir:outputs/agent61_pressure_resolution_replay_scenario_pack
medium,,documents_or_references,file:README.md,file:deliverables/README.md
medium,,documents_or_references,file:README.md,file:deliverables/catalyst_activity_proxy.md
medium,,documents_or_references,file:README.md,file:deliverables/field_replay_calibration_gate.md
medium,,documents_or_references,file:README.md,file:deliverables/field_replay_evidence_chain.md
medium,,documents_or_references,file:README.md,file:deliverables/field_replay_import_protocol.md
medium,,documents_or_references,file:README.md,file:deliverables/grey_box_dynamic_latency.md
medium,,documents_or_references,file:README.md,file:deliverables/knowledge_graph_curation.md
medium,,documents_or_references,file:README.md,file:deliverables/knowledge_graph_schema.md
medium,,documents_or_references,file:README.md,file:deliverables/literature_evidence_matrix.md
medium,,documents_or_references,file:README.md,file:deliverables/literature_evidence_schema.md
medium,,documents_or_references,file:README.md,file:deliverables/manifest.json
medium,,documents_or_references,file:README.md,file:deliverables/matrix_shock_fast_proxy_control.md
medium,,documents_or_references,file:README.md,file:deliverables/minimal_grey_box_physics.md
medium,,documents_or_references,file:README.md,file:deliverables/model_core_optimization/
medium,,documents_or_references,file:README.md,file:deliverables/model_core_optimization/governance_report.md
medium,,documents_or_references,file:README.md,file:deliverables/model_realism_audit.md
medium,,documents_or_references,file:README.md,file:deliverables/model_upgrade_backlog.md
medium,,documents_or_references,file:README.md,file:deliverables/multi_facility_collaborative_control.md
medium,,documents_or_references,file:README.md,file:deliverables/multi_facility_replay_evaluation.md
medium,,documents_or_references,file:README.md,file:deliverables/sensor_network_sparse_placement.md
medium,,documents_or_references,file:README.md,file:deliverables/soft_sensor_conformal_calibration.md
medium,,documents_or_references,file:README.md,file:deliverables/soft_sensor_field_holdout_gate.md
medium,,documents_or_references,file:README.md,file:deliverables/soft_sensor_matrix_coupling.md
medium,,documents_or_references,file:README.md,file:deliverables/soft_sensor_uncertainty_validation.md
medium,,documents_or_references,file:README.md,file:deliverables/timestamped_campaign_replay_schema.md
medium,,documents_or_references,file:README.md,file:deliverables/weak_target_stratified_conformal.md
medium,,documents_or_references,file:README.md,file:docs/agent_system_spec.md
medium,,documents_or_references,file:README.md,file:docs/build_research_plan_docx.py
medium,,documents_or_references,file:README.md,file:docs/field_data_interface_spec.md
medium,,documents_or_references,file:README.md,file:docs/project_overview_28_agent.md
medium,,documents_or_references,file:README.md,file:docs/研究方案_Word兼容版.docx
medium,,documents_or_references,file:README.md,file:experiments/train_soft_sensor_model.py
medium,,documents_or_references,file:README.md,file:outputs/agent42_timestamped_campaign_replay/agent42_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent43_field_replay_calibration_gate/agent43_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent44_field_replay_import/agent44_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent45_field_replay_evidence_chain/agent45_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent46_soft_sensor_field_holdout_gate/agent46_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent47_weak_target_stratified_conformal/agent47_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent48_sensor_network_sparse_placement/agent48_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent49_multi_facility_collaborative_control/agent49_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent50_model_core_governance/agent50_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent51_catalyst_activity_proxy/agent51_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent52_multi_facility_replay_evaluation/agent52_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent53_minimal_grey_box_physics/agent53_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent54_soft_sensor_matrix_coupling/agent54_report.md
medium,,documents_or_references,file:README.md,file:outputs/agent_architecture_consolidation/architecture_consolidation_metrics.json
medium,,documents_or_references,file:README.md,file:outputs/agent_architecture_consolidation/formal_counsel_review_response_source_preflight.json
medium,,documents_or_references,file:README.md,file:outputs/agent_architecture_consolidation/formal_counsel_review_response_template.json
medium,,documents_or_references,file:README.md,file:outputs/agent_architecture_consolidation/formal_disclosure_revision_impact_plan.json
medium,,documents_or_references,file:README.md,file:outputs/agent_architecture_consolidation/formal_disclosure_revision_queue.json
